,age,job,marital,education,default,balance,housing,loan,day,month,campaign,pdays,previous,poutcome
101,50,1,1,1,0,-731,1,0,14,5,4,-1,0,3
102,32,1,2,1,0,82,1,0,27,5,4,-1,0,3
103,47,4,1,2,0,1493,0,0,30,5,5,-1,0,3
104,59,4,1,2,0,3640,0,0,16,9,2,-1,0,3
105,39,1,1,0,0,532,1,0,30,5,2,-1,0,3
106,29,7,1,1,0,283,0,1,25,8,1,-1,0,3
107,51,4,1,1,0,140,1,0,20,8,10,-1,0,3
108,40,4,1,2,0,1700,1,0,8,5,2,-1,0,3
109,51,3,1,0,0,605,0,0,2,3,2,159,14,0
110,59,9,1,3,0,1471,0,0,30,5,3,-1,0,3
111,45,1,1,1,0,156,1,1,27,8,1,-1,0,3
112,34,7,1,1,0,382,1,1,3,3,2,198,7,0
113,32,9,2,1,0,493,0,0,12,1,2,-1,0,3
114,41,4,1,2,0,2781,1,0,11,1,2,-1,0,3
115,60,4,1,2,0,79,0,0,10,6,3,-1,0,3
116,27,7,2,1,0,139,0,0,24,5,3,-1,0,3
117,42,4,0,2,0,0,0,0,16,9,1,-1,0,3
118,30,7,2,1,0,773,1,1,3,6,1,-1,0,3
119,38,4,1,2,1,-1007,1,1,18,6,1,-1,0,3
120,32,9,1,1,0,367,1,0,10,8,2,276,3,0
121,35,9,2,1,0,1708,1,0,1,6,3,-1,0,3
122,36,7,2,0,0,38,0,0,5,6,4,-1,0,3
123,34,0,0,1,0,1927,0,1,17,5,2,-1,0,3
124,28,1,1,1,0,1296,1,1,7,5,5,-1,0,3
125,37,1,1,1,0,395,1,0,5,8,2,-1,0,3
126,46,4,1,2,0,3984,0,0,12,1,2,-1,0,3
127,34,9,1,1,0,222,1,0,11,8,6,-1,0,3
128,54,4,1,2,0,2650,1,1,18,9,1,-1,0,3
129,37,7,1,1,0,2915,0,0,25,8,2,-1,0,3
130,33,4,1,2,0,0,0,0,2,3,1,-1,0,3
131,29,4,2,2,0,36252,1,0,29,0,1,-1,0,3
132,29,1,2,2,0,1012,1,0,18,8,3,-1,0,3
133,55,6,1,1,0,4493,0,0,3,1,1,-1,0,3
134,35,4,2,2,0,467,1,0,13,1,2,-1,0,3
135,32,9,1,1,0,908,1,0,19,8,1,-1,0,3
136,37,6,2,0,0,235,1,0,16,0,4,323,9,0
137,47,0,0,1,0,106,1,0,14,8,1,-1,0,3
138,42,4,1,1,0,43,1,0,13,8,8,-1,0,3
139,52,4,1,1,0,2216,1,1,13,8,1,332,8,0
140,44,1,1,1,0,1786,1,0,14,8,2,-1,0,3
141,57,0,1,0,0,202,1,0,19,0,1,346,2,0
142,32,9,2,2,0,5514,0,0,21,0,1,182,1,2
143,43,10,0,1,0,1854,0,0,29,0,1,-1,0,3
144,41,9,2,1,0,294,1,0,27,1,14,-1,0,3
145,37,4,2,1,0,45,0,0,28,1,3,-1,0,3
146,57,3,1,0,0,2,0,0,8,5,3,-1,0,3
147,51,1,1,0,0,581,0,0,24,1,4,-1,0,3
148,38,1,1,0,0,27,1,0,26,8,4,-1,0,3
149,50,0,0,1,0,769,0,0,27,5,2,363,4,0
150,35,1,1,1,0,809,1,1,28,8,1,-1,0,3
151,32,2,1,2,0,0,1,0,6,8,2,349,2,0
152,28,4,1,2,0,102,1,0,25,8,2,-1,0,3
153,44,4,1,1,0,438,1,0,7,8,3,303,1,0
154,56,2,1,3,0,88,1,0,12,8,2,-1,0,3
155,38,2,1,2,0,136,1,1,1,3,2,-1,0,3
156,30,10,1,1,1,19,0,0,18,9,5,-1,0,3
157,54,9,1,1,0,3994,0,1,19,10,2,187,2,2
158,39,9,1,2,0,437,0,0,26,8,2,-1,0,3
159,49,1,1,1,0,2219,1,0,14,8,2,-1,0,3
160,33,9,1,1,0,318,1,0,13,8,4,342,14,1
161,47,1,1,0,0,206,1,0,5,8,1,-1,0,3
162,34,1,1,0,0,1255,1,1,25,8,7,-1,0,3
163,41,4,1,2,0,6060,1,0,14,8,2,-1,0,3
164,40,10,1,1,0,277,1,0,25,8,2,-1,0,3
165,27,9,1,2,0,276,0,0,15,8,2,-1,0,3
166,34,4,1,2,0,0,0,0,5,1,2,-1,0,3
167,40,1,1,1,0,3316,0,0,18,6,3,-1,0,3
168,53,4,0,2,0,2152,0,0,12,3,3,-1,0,3
169,47,9,1,1,0,644,0,0,20,1,13,-1,0,3
170,47,3,2,2,0,456,0,0,11,6,2,-1,0,3
171,55,1,1,3,0,213,0,0,13,1,2,-1,0,3
172,33,1,1,1,0,328,1,0,17,9,2,182,1,0
173,58,5,1,0,0,701,0,0,21,1,4,-1,0,3
174,48,4,1,2,0,269,1,0,14,5,2,-1,0,3
175,26,0,2,1,0,802,0,0,29,4,1,2,2,1
176,38,9,1,1,0,4030,1,0,18,9,2,177,5,0
177,25,0,1,2,0,906,0,0,25,8,1,-1,0,3
178,55,5,1,1,0,143,1,0,5,8,3,-1,0,3
179,44,1,2,0,0,1308,0,1,18,6,1,-1,0,3
180,33,9,1,1,0,23,0,0,28,1,4,-1,0,3
181,30,1,2,1,0,435,1,1,22,8,1,-1,0,3
182,26,6,2,1,0,3676,0,0,6,0,1,-1,0,3
183,27,9,2,1,0,927,0,0,5,10,1,-1,0,3
184,56,5,1,0,0,855,0,0,4,6,2,-1,0,3
185,32,0,2,2,0,395,1,0,5,8,3,-1,0,3
186,47,1,1,0,0,0,0,0,25,1,4,-1,0,3
187,53,4,1,2,0,1313,0,0,3,1,2,-1,0,3
188,42,1,1,0,0,205,1,0,16,0,1,-1,0,3
189,53,9,1,1,0,4930,0,1,1,3,2,-1,0,3
190,37,4,2,2,0,0,0,0,19,1,5,-1,0,3
191,47,4,1,2,0,288,0,0,30,7,1,181,1,2
192,31,1,1,1,0,1533,1,0,29,8,4,-1,0,3
193,55,7,1,1,0,557,0,0,18,6,1,-1,0,3
194,32,2,1,1,0,135,1,0,6,8,2,-1,0,3
195,36,4,1,2,0,753,0,0,25,8,5,40,4,0
196,54,3,1,0,0,136,0,0,28,5,2,-1,0,3
197,36,0,2,1,0,0,1,0,20,9,2,-1,0,3
198,28,1,2,0,0,150,0,1,8,5,2,-1,0,3
199,32,4,1,2,0,710,1,0,16,5,2,-1,0,3
200,39,4,1,2,1,47,0,0,20,9,3,158,3,0
201,30,6,1,2,0,2666,0,0,3,3,1,-1,0,3
202,43,10,1,1,0,210,1,0,11,8,5,-1,0,3
203,41,3,1,0,0,3291,1,0,14,8,4,-1,0,3
204,47,9,1,2,0,831,1,0,4,8,3,-1,0,3
205,36,4,1,2,0,1584,1,0,17,5,1,-1,0,3
206,49,6,1,1,0,1878,1,1,22,8,11,-1,0,3
207,33,0,1,1,0,-111,1,1,19,6,3,-1,0,3
208,31,4,1,2,0,3914,0,1,28,4,1,-1,0,3
209,60,9,1,1,0,1139,0,0,5,3,2,207,2,0
210,78,5,1,1,0,220,0,0,3,1,1,-1,0,3
211,34,10,1,1,0,156,1,0,4,8,5,-1,0,3
212,57,2,0,1,1,25,1,0,10,8,1,370,4,1
213,38,4,2,1,0,293,0,1,23,9,2,-1,0,3
214,56,3,1,0,0,19,0,0,12,1,2,-1,0,3
215,36,7,1,1,0,3740,1,0,6,0,1,-1,0,3
216,30,9,1,2,0,1,0,0,28,1,21,-1,0,3
217,38,10,1,0,0,338,0,0,18,6,2,-1,0,3
218,49,6,1,1,0,-199,1,1,28,4,1,-1,0,3
219,33,1,1,1,0,58,0,0,15,8,2,-1,0,3
220,37,4,1,2,0,238,0,0,2,3,1,92,1,2
221,61,5,1,1,0,2011,0,0,21,6,1,578,2,0
222,44,2,2,2,0,1240,1,0,17,9,1,-1,0,3
223,36,7,2,1,0,-267,1,0,13,8,7,352,1,0
224,43,1,1,1,0,902,1,0,6,0,1,328,1,0
225,34,0,1,1,0,1499,1,0,12,0,1,327,2,0
226,45,4,1,2,0,1363,1,0,14,8,5,-1,0,3
227,25,0,2,2,0,40,0,0,11,8,1,-1,0,3
228,41,9,1,1,0,-274,1,0,26,8,3,-1,0,3
229,41,0,0,1,0,1232,0,0,4,3,1,-1,0,3
230,27,1,2,1,0,148,0,0,21,5,1,-1,0,3
231,54,5,0,1,0,13,1,0,14,5,2,-1,0,3
232,27,8,2,1,0,10536,0,0,28,4,1,-1,0,3
233,44,4,0,2,0,2422,1,0,15,0,2,269,2,0
234,45,4,1,2,0,1866,0,0,10,6,7,-1,0,3
235,30,9,2,2,0,290,0,0,10,1,5,-1,0,3
236,57,6,1,2,0,192,1,0,6,8,1,-1,0,3
237,28,3,2,1,0,1,1,0,11,8,2,-1,0,3
238,54,1,2,3,0,6622,0,0,16,6,1,-1,0,3
239,37,4,2,2,0,1339,1,0,12,8,6,173,4,1
240,50,7,1,1,0,57435,1,0,20,9,3,-1,0,3
241,47,10,1,0,0,4274,0,0,27,4,2,-1,0,3
242,41,4,1,2,0,5883,0,0,19,9,2,-1,0,3
243,36,4,1,2,0,7,1,0,16,9,2,-1,0,3
244,23,8,2,1,0,480,0,0,10,1,1,-1,0,3
245,43,7,1,1,0,774,0,0,23,6,1,91,2,2
246,33,9,2,2,0,3255,0,0,13,1,4,-1,0,3
247,37,2,1,1,0,2971,0,0,16,9,2,188,11,1
248,45,9,1,2,0,3168,0,0,7,1,2,-1,0,3
249,30,0,1,1,0,490,1,0,2,3,6,251,4,1
250,67,5,1,0,0,585,0,0,11,4,1,148,1,0
251,31,7,1,1,0,1004,0,0,4,3,6,-1,0,3
252,60,5,1,2,0,614,0,0,28,1,3,-1,0,3
253,52,9,1,1,0,851,0,0,16,6,2,-1,0,3
254,43,9,2,1,0,214,1,0,13,8,1,-1,0,3
255,32,1,1,1,0,7365,1,0,30,5,5,-1,0,3
256,28,7,2,1,0,-221,0,1,22,5,12,-1,0,3
257,44,9,1,1,0,0,0,1,3,3,2,-1,0,3
258,36,0,1,1,0,1031,0,0,16,6,4,-1,0,3
259,33,1,1,0,0,1309,1,0,12,8,1,-1,0,3
260,59,1,0,0,0,153,0,0,4,1,2,-1,0,3
261,60,6,1,1,0,3105,0,0,27,5,4,-1,0,3
262,57,4,1,2,1,1218,1,0,17,5,6,-1,0,3
263,55,6,1,1,0,2678,0,1,17,1,12,-1,0,3
264,34,7,1,0,0,31,0,1,8,5,3,-1,0,3
265,42,7,2,1,0,247,1,0,30,5,2,-1,0,3
266,50,0,1,1,0,100,1,0,17,6,1,-1,0,3
267,43,4,1,2,0,143,0,0,18,1,2,-1,0,3
268,27,1,2,1,0,185,1,0,6,8,1,-1,0,3
269,26,4,2,2,0,1370,0,0,24,7,1,295,1,1
270,30,1,2,1,0,130,0,0,4,2,1,-1,0,3
271,36,8,2,3,0,417,0,0,9,3,1,-1,0,3
272,36,6,1,2,0,11387,0,0,14,0,1,-1,0,3
273,37,10,2,1,0,48,0,0,30,5,10,-1,0,3
274,30,4,2,2,0,0,0,0,24,1,18,-1,0,3
275,28,9,2,1,0,441,0,1,8,5,2,-1,0,3
276,24,8,2,1,0,82,1,0,4,8,2,-1,0,3
277,28,4,1,2,0,1480,1,0,17,8,1,-1,0,3
278,28,10,1,0,1,44,1,0,30,5,13,-1,0,3
279,27,9,1,2,0,8,1,1,17,8,1,370,2,0
280,38,9,1,1,0,625,1,0,3,6,2,-1,0,3
281,43,0,1,1,0,101,1,0,19,0,2,349,3,0
282,40,4,2,2,0,0,0,1,16,9,1,-1,0,3
283,39,9,1,1,0,958,1,0,8,0,5,142,4,0
284,59,4,1,2,0,287,1,0,19,0,2,242,8,0
285,41,7,0,1,1,-198,0,1,13,8,1,-1,0,3
286,58,4,1,2,0,96,0,0,20,9,1,-1,0,3
287,30,0,1,2,0,26,1,0,15,0,1,323,1,0
288,59,6,1,1,0,0,0,0,17,1,4,-1,0,3
289,45,7,1,1,0,475,1,0,29,8,2,-1,0,3
290,48,4,0,2,0,108,1,0,26,8,2,-1,0,3
291,35,10,1,1,0,315,1,0,18,9,1,-1,0,3
292,42,9,2,1,0,2646,1,0,22,5,4,-1,0,3
293,30,9,1,2,0,239,0,0,19,10,1,-1,0,3
294,32,9,1,2,0,4654,1,1,14,5,2,-1,0,3
295,60,5,0,0,0,-79,1,1,28,4,1,-1,0,3
296,59,5,1,1,0,56,0,0,4,6,1,-1,0,3
297,49,4,0,2,0,-2049,1,0,29,8,3,-1,0,3
298,30,9,2,1,0,458,0,0,19,9,7,-1,0,3
299,35,4,1,2,0,131,1,0,18,9,1,-1,0,3
300,57,3,0,1,0,4969,0,0,20,9,2,-1,0,3
301,33,4,1,2,0,3456,1,0,2,6,2,-1,0,3
302,26,1,1,1,1,-82,1,0,3,6,2,-1,0,3
303,56,9,1,1,0,4073,0,0,26,1,5,-1,0,3
304,30,9,2,2,0,2427,0,0,7,1,2,-1,0,3
305,34,9,1,1,0,-228,1,0,19,0,3,332,3,1
306,36,10,2,0,0,0,0,0,19,9,3,-1,0,3
307,27,4,2,2,1,0,1,0,15,8,2,-1,0,3
308,27,9,2,2,0,11862,0,0,24,8,5,101,1,2
309,45,2,1,2,0,2185,1,0,18,9,4,-1,0,3
310,36,9,2,1,0,2151,1,0,12,8,1,370,1,0
311,52,1,1,0,0,1884,0,0,10,6,4,-1,0,3
312,59,1,1,1,0,16869,0,0,18,9,1,-1,0,3
313,43,1,1,0,0,1620,1,0,14,8,1,-1,0,3
314,45,4,0,2,0,2237,1,0,7,8,3,322,2,0
315,54,1,1,0,0,-864,1,0,6,8,3,363,5,0
316,43,9,1,1,0,253,0,0,20,1,5,-1,0,3
317,37,7,2,1,0,62,1,0,27,4,2,268,2,0
318,40,7,0,1,0,0,1,0,3,6,1,-1,0,3
319,44,9,2,1,0,1679,0,0,19,10,1,-1,0,3
320,36,1,2,0,0,3214,1,0,15,6,2,-1,0,3
321,50,0,2,1,0,424,1,0,11,8,2,-1,0,3
322,38,9,2,1,0,0,1,0,6,0,2,-1,0,3
323,28,10,2,2,0,497,1,0,23,5,6,-1,0,3
324,29,9,1,1,0,344,1,1,27,8,2,-1,0,3
325,63,5,1,3,0,2193,0,0,20,0,4,-1,0,3
326,52,3,1,0,0,10943,0,0,15,11,1,-1,0,3
327,36,4,1,2,0,605,1,0,25,8,1,-1,0,3
328,25,9,2,1,0,1036,1,0,24,5,2,-1,0,3
329,32,1,2,1,0,1047,0,0,20,9,2,-1,0,3
330,29,6,2,1,0,970,1,0,12,8,1,-1,0,3
331,49,7,1,1,0,1496,1,0,6,8,4,-1,0,3
332,32,9,2,1,0,39,0,0,25,1,11,-1,0,3
333,47,1,1,0,0,214,1,1,8,6,1,-1,0,3
334,44,2,1,1,1,-848,1,0,18,8,1,-1,0,3
335,32,9,2,1,0,230,1,0,17,8,1,266,8,0
336,44,9,2,1,0,3438,1,0,29,5,2,-1,0,3
337,46,9,2,2,0,3133,0,0,5,1,3,-1,0,3
338,40,4,2,2,0,89,1,0,29,5,6,-1,0,3
339,28,1,2,1,0,-193,0,0,17,5,7,-1,0,3
340,41,1,1,0,0,4593,1,1,16,9,1,-1,0,3
341,62,5,1,1,0,4829,0,0,5,1,1,-1,0,3
342,30,1,1,1,0,0,1,0,11,8,1,-1,0,3
343,35,4,1,2,0,0,1,0,28,5,12,-1,0,3
344,27,1,1,1,0,1341,1,1,29,8,2,-1,0,3
345,31,1,1,1,0,472,1,0,12,8,2,-1,0,3
346,36,3,1,2,0,147,1,1,24,5,1,-1,0,3
347,75,11,1,2,0,643,0,0,14,10,2,-1,0,3
348,57,1,1,1,0,1316,0,0,27,4,2,182,5,0
349,55,4,0,2,0,7010,0,0,21,11,1,195,2,0
350,37,7,2,1,0,1045,0,0,3,3,1,-1,0,3
351,41,0,1,1,0,1705,0,0,29,5,3,-1,0,3
352,42,9,1,2,0,757,0,0,29,0,1,79,1,2
353,28,0,2,2,0,832,0,0,28,7,3,342,1,0
354,81,5,0,0,0,519,0,0,8,11,1,-1,0,3
355,39,1,2,2,0,172,1,0,9,1,1,131,1,2
356,36,7,1,1,0,-182,1,1,7,8,6,304,11,1
357,49,0,0,1,0,560,1,0,24,5,3,-1,0,3
358,31,4,1,2,0,322,1,0,21,5,3,-1,0,3
359,33,9,1,1,0,181,1,1,27,5,2,-1,0,3
360,46,2,2,2,0,1410,1,0,18,9,1,189,8,0
361,53,4,1,2,0,0,1,0,8,5,1,-1,0,3
362,39,9,1,2,0,1161,1,0,8,0,1,336,1,0
363,39,1,1,1,0,49,1,0,13,8,1,370,2,0
364,41,9,1,1,0,2185,1,0,6,0,4,309,4,1
365,39,7,1,1,0,2843,1,0,18,6,1,-1,0,3
366,34,0,1,1,0,1158,1,0,17,8,7,-1,0,3
367,36,9,1,1,0,432,1,0,28,1,2,-1,0,3
368,43,4,1,2,0,3518,0,0,27,2,2,196,2,2
369,54,10,2,2,0,252,1,0,20,5,1,-1,0,3
370,53,7,1,1,0,2774,0,1,18,6,1,-1,0,3
371,30,0,2,2,0,371,0,0,17,9,1,-1,0,3
372,57,9,0,1,0,2710,1,1,6,8,1,-1,0,3
373,55,1,1,0,0,2275,0,0,24,1,9,-1,0,3
374,37,4,1,1,0,0,0,0,11,1,2,-1,0,3
375,56,5,1,1,0,1956,0,0,6,1,2,-1,0,3
376,49,9,0,1,0,2677,1,1,30,5,3,-1,0,3
377,30,7,2,3,0,138,1,0,19,0,1,-1,0,3
378,40,7,1,1,0,-80,1,0,1,6,1,-1,0,3
379,37,9,2,1,0,181,0,0,4,1,1,-1,0,3
380,31,0,0,2,0,146,1,0,15,8,1,-1,0,3
381,50,0,0,0,0,8583,1,0,18,9,1,-1,0,3
382,33,7,1,2,0,570,0,0,24,8,1,-1,0,3
383,50,1,1,0,0,12519,1,0,17,10,1,-1,0,3
384,31,8,1,0,0,46,1,0,9,5,1,-1,0,3
385,57,9,1,0,0,19,1,0,22,5,1,-1,0,3
386,33,2,1,2,0,196,1,0,17,9,1,-1,0,3
387,31,9,2,1,0,775,0,0,1,3,1,-1,0,3
388,35,1,1,1,0,323,1,0,12,8,1,-1,0,3
389,29,1,1,0,0,57,0,1,6,5,1,-1,0,3
390,55,9,1,1,0,-14,1,0,11,8,4,-1,0,3
391,45,9,1,1,0,86,1,0,4,8,1,-1,0,3
392,34,0,0,1,0,1268,1,0,14,8,3,-1,0,3
393,51,0,2,2,0,394,0,0,27,4,2,-1,0,3
394,38,4,1,3,0,1349,1,0,5,8,1,-1,0,3
395,50,4,1,2,0,101,1,0,14,8,1,-1,0,3
396,41,0,2,1,0,734,1,0,2,6,3,-1,0,3
397,52,1,1,1,0,157,1,1,18,8,2,-1,0,3
398,35,4,2,2,0,992,0,1,0,11,1,-1,0,3
399,55,1,1,0,0,2102,1,0,11,8,4,371,1,0
400,33,4,2,2,0,171,1,0,16,5,1,-1,0,3
401,50,4,1,2,0,-516,1,0,14,8,2,-1,0,3
402,42,0,1,1,1,-9,0,0,19,6,1,-1,0,3
403,56,10,1,1,0,-246,0,1,27,4,2,204,2,0
404,56,5,1,0,1,-123,0,1,27,1,3,-1,0,3
405,31,7,2,1,0,695,1,0,2,0,1,318,1,0
406,34,1,1,1,0,259,1,0,13,8,2,-1,0,3
407,50,3,2,0,0,1158,1,0,2,3,3,265,3,0
408,59,9,1,1,0,4263,0,1,19,9,2,-1,0,3
409,53,0,2,1,0,2398,1,0,1,1,1,180,2,0
410,36,9,2,2,0,268,0,0,28,1,12,-1,0,3
411,55,9,1,2,0,169,0,1,4,1,2,-1,0,3
412,19,8,2,1,0,626,0,0,14,0,1,-1,0,3
413,36,10,2,0,0,2562,0,0,19,6,2,-1,0,3
414,31,1,2,1,0,411,0,0,20,8,3,361,1,0
415,32,1,1,1,0,0,1,0,8,3,7,-1,0,3
416,49,3,1,0,0,640,0,0,12,1,4,-1,0,3
417,55,1,1,1,0,5874,0,0,18,6,1,-1,0,3
418,28,1,2,1,0,171,1,0,17,8,2,-1,0,3
419,24,8,2,1,0,689,0,0,7,11,1,-1,0,3
420,39,7,1,1,0,1442,0,0,21,0,3,-1,0,3
421,34,4,2,2,0,-362,1,1,19,0,6,-1,0,3
422,28,7,2,2,0,737,1,1,26,8,1,-1,0,3
423,56,9,1,1,0,1199,1,1,28,5,2,-1,0,3
424,37,1,0,1,0,316,1,0,25,8,2,-1,0,3
425,46,1,1,0,0,44,0,1,9,5,9,-1,0,3
426,50,0,2,1,0,2252,0,0,29,0,2,-1,0,3
427,34,9,2,2,0,122,0,0,26,8,5,-1,0,3
428,30,9,2,1,0,0,1,0,5,8,1,-1,0,3
429,42,4,0,2,0,624,0,0,17,1,5,-1,0,3
430,33,9,1,1,0,0,1,0,6,8,1,-1,0,3
431,59,1,1,1,0,410,1,0,1,3,1,-1,0,3
432,57,5,1,1,0,209,0,0,13,1,4,-1,0,3
433,66,6,1,2,0,147,0,0,11,4,1,-1,0,3
434,39,9,2,2,0,139,0,0,0,6,1,-1,0,3
435,47,0,1,1,0,5401,0,0,18,1,2,-1,0,3
436,24,9,2,1,0,820,1,0,22,8,1,-1,0,3
437,46,1,1,0,0,7982,0,0,7,1,5,-1,0,3
438,46,1,1,1,0,71,1,0,5,8,1,-1,0,3
439,29,1,1,1,0,247,0,1,6,5,1,-1,0,3
440,58,4,1,2,0,2764,0,0,0,6,1,196,1,0
441,38,9,0,1,0,273,1,0,19,8,2,-1,0,3
442,27,0,1,1,0,3415,0,0,8,10,3,184,1,2
443,52,0,1,0,0,321,1,0,29,8,4,-1,0,3
444,29,1,2,2,0,251,0,0,28,4,1,-1,0,3
